,opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,cycle_duration,quarter_close,account_sector,account_revenue,account_employees,office_location,size_category,manager,regional_office,series,sales_price
0,1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,132.0,Q1 2017,Retail,718.62,2448,United States,Enterprise,Dustin Brinkmann,Central,GTX,1096
1,EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,133.0,Q1 2017,Retail,718.62,2448,United States,Enterprise,Melvin Marxen,Central,MG,55
2,MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,135.0,Q1 2017,Software,2714.9,2641,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
3,PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,128.0,Q1 2017,Services,792.46,1299,United States,Mid-Market,Summer Sewald,West,GTX,550
4,ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,123.0,Q1 2017,Medical,3922.42,6837,United States,Enterprise,Dustin Brinkmann,Central,MG,55
5,9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,123.0,Q1 2017,Retail,1388.67,3583,United States,Enterprise,Celia Rouche,West,MG,55
6,7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,126.0,Q1 2017,Entertainment,4269.9,6472,United States,Enterprise,Celia Rouche,West,GTX,550
7,OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,122.0,Q1 2017,Medical,441.08,1210,United States,Mid-Market,Melvin Marxen,Central,GTX,1096
8,NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,126.0,Q1 2017,Medical,587.34,1356,Philipines,Mid-Market,Dustin Brinkmann,Central,MG,55
9,S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,126.0,Q1 2017,Marketing,894.37,1593,Poland,Enterprise,Summer Sewald,West,GTX,5482
10,ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,122.0,Q1 2017,Telecommunications,1699.85,5108,United States,Enterprise,Summer Sewald,West,GTX,5482
11,09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,126.0,Q1 2017,Employment,2059.9,3644,United States,Enterprise,Celia Rouche,West,MG,3393
13,M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,121.0,Q1 2017,Software,6354.87,16780,United States,Enterprise,Celia Rouche,West,MG,3393
14,6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,119.0,Q1 2017,Telecommunications,5266.09,8595,United States,Enterprise,Dustin Brinkmann,Central,MG,55
15,5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,121.0,Q1 2017,Telecommunications,1188.42,3015,United States,Enterprise,Celia Rouche,West,MG,55
17,WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,131.0,Q1 2017,Medical,3922.42,6837,United States,Enterprise,Dustin Brinkmann,Central,MG,55
18,C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,124.0,Q1 2017,Finance,646.1,883,United States,Mid-Market,Cara Losch,East,GTX,1096
19,ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,138.0,Q1 2017,Services,2041.73,5276,United States,Enterprise,Melvin Marxen,Central,GTX,550
20,SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,133.0,Q1 2017,Entertainment,324.19,978,United States,Mid-Market,Summer Sewald,West,GTX,550
22,JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,122.0,Q1 2017,Medical,587.34,1356,Philipines,Mid-Market,Dustin Brinkmann,Central,MG,55
24,5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,114.0,Q1 2017,Entertainment,4269.9,6472,United States,Enterprise,Celia Rouche,West,MG,55
26,2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,112.0,Q1 2017,Marketing,2173.98,2928,United States,Enterprise,Dustin Brinkmann,Central,MG,55
27,KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,127.0,Q1 2017,Retail,4968.91,7523,United States,Enterprise,Summer Sewald,West,GTX,550
